,client_id,age,job,marital,education,credit_default,mortgage
0,0,56,housemaid,married,basic_4y,False,False
1,1,57,services,married,high_school,False,False
2,2,37,services,married,high_school,False,True
3,3,40,admin_,married,basic_6y,False,False
4,4,56,services,married,high_school,False,False
5,5,45,services,married,basic_9y,False,False
6,6,59,admin_,married,professional_course,False,False
7,7,41,blue-collar,married,unknown,False,False
8,8,24,technician,single,professional_course,False,True
9,9,25,services,single,high_school,False,True
10,10,41,blue-collar,married,unknown,False,False
11,11,25,services,single,high_school,False,True
12,12,29,blue-collar,single,high_school,False,False
13,13,57,housemaid,divorced,basic_4y,False,True
14,14,35,blue-collar,married,basic_6y,False,True
15,15,54,retired,married,basic_9y,False,True
16,16,35,blue-collar,married,basic_6y,False,True
17,17,46,blue-collar,married,basic_6y,False,True
18,18,50,blue-collar,married,basic_9y,False,True
19,19,39,management,single,basic_9y,False,False
20,20,30,unemployed,married,high_school,False,False
21,21,55,blue-collar,married,basic_4y,False,True
22,22,55,retired,single,high_school,False,True
23,23,41,technician,single,high_school,False,True
24,24,37,admin_,married,high_school,False,True
25,25,35,technician,married,university_degree,False,False
26,26,59,technician,married,unknown,False,True
27,27,39,self-employed,married,basic_9y,False,False
28,28,54,technician,single,university_degree,False,False
29,29,55,unknown,married,university_degree,False,False
30,30,46,admin_,married,unknown,False,False
31,31,59,technician,married,unknown,False,True
32,32,49,blue-collar,married,unknown,False,False
33,33,54,management,married,basic_4y,False,True
34,34,54,blue-collar,divorced,basic_4y,False,False
35,35,55,unknown,married,basic_4y,False,True
36,36,34,services,married,high_school,False,False
37,37,52,technician,married,basic_9y,False,True
38,38,41,admin_,married,university_degree,False,True
39,39,56,technician,married,basic_4y,False,True
40,40,58,management,unknown,university_degree,False,True
41,41,32,entrepreneur,married,high_school,False,True
42,42,38,admin_,single,professional_course,False,False
43,43,57,admin_,married,university_degree,False,False
44,44,44,admin_,married,university_degree,False,True
45,45,42,technician,single,professional_course,False,False
46,46,57,admin_,married,university_degree,False,True
47,47,40,blue-collar,married,basic_9y,False,False
48,48,35,admin_,married,university_degree,False,True
49,49,45,blue-collar,married,basic_9y,False,True
50,50,54,admin_,married,high_school,False,False
51,51,39,housemaid,married,basic_4y,False,False
52,52,60,admin_,married,high_school,False,False
53,53,53,admin_,single,professional_course,False,False
54,54,55,blue-collar,married,basic_4y,False,False
