,client_id,cons_price_idx,euribor_three_months
0,0,93.994,4.857
1,1,93.994,4.857
2,2,93.994,4.857
3,3,93.994,4.857
4,4,93.994,4.857
5,5,93.994,4.857
6,6,93.994,4.857
7,7,93.994,4.857
8,8,93.994,4.857
9,9,93.994,4.857
10,10,93.994,4.857
11,11,93.994,4.857
12,12,93.994,4.857
13,13,93.994,4.857
14,14,93.994,4.857
15,15,93.994,4.857
16,16,93.994,4.857
17,17,93.994,4.857
18,18,93.994,4.857
19,19,93.994,4.857
20,20,93.994,4.857
21,21,93.994,4.857
22,22,93.994,4.857
23,23,93.994,4.857
24,24,93.994,4.857
25,25,93.994,4.857
26,26,93.994,4.857
27,27,93.994,4.857
28,28,93.994,4.857
29,29,93.994,4.857
30,30,93.994,4.857
31,31,93.994,4.857
32,32,93.994,4.857
33,33,93.994,4.857
34,34,93.994,4.857
35,35,93.994,4.857
36,36,93.994,4.857
37,37,93.994,4.857
38,38,93.994,4.857
39,39,93.994,4.857
40,40,93.994,4.857
41,41,93.994,4.857
42,42,93.994,4.857
43,43,93.994,4.857
44,44,93.994,4.857
45,45,93.994,4.857
46,46,93.994,4.857
47,47,93.994,4.857
48,48,93.994,4.857
49,49,93.994,4.857
50,50,93.994,4.857
51,51,93.994,4.857
52,52,93.994,4.857
53,53,93.994,4.857
54,54,93.994,4.857
55,55,93.994,4.857
56,56,93.994,4.857
57,57,93.994,4.857
58,58,93.994,4.857
59,59,93.994,4.857
60,60,93.994,4.857
61,61,93.994,4.857
62,62,93.994,4.857
63,63,93.994,4.857
64,64,93.994,4.857
65,65,93.994,4.857
66,66,93.994,4.857
67,67,93.994,4.857
68,68,93.994,4.857
69,69,93.994,4.857
70,70,93.994,4.857
71,71,93.994,4.857
72,72,93.994,4.857
73,73,93.994,4.857
74,74,93.994,4.857
75,75,93.994,4.857
76,76,93.994,4.857
77,77,93.994,4.857
78,78,93.994,4.857
79,79,93.994,4.857
80,80,93.994,4.857
81,81,93.994,4.857
82,82,93.994,4.857
83,83,93.994,4.857
84,84,93.994,4.857
85,85,93.994,4.857
86,86,93.994,4.857
87,87,93.994,4.857
88,88,93.994,4.857
89,89,93.994,4.857
90,90,93.994,4.857
91,91,93.994,4.857
92,92,93.994,4.857
93,93,93.994,4.857
94,94,93.994,4.857
95,95,93.994,4.857
96,96,93.994,4.857
97,97,93.994,4.857
98,98,93.994,4.857
99,99,93.994,4.857
100,100,93.994,4.857
101,101,93.994,4.857
102,102,93.994,4.857
103,103,93.994,4.857
104,104,93.994,4.857
105,105,93.994,4.857
106,106,93.994,4.857
107,107,93.994,4.857
108,108,93.994,4.857
109,109,93.994,4.857
110,110,93.994,4.857
111,111,93.994,4.857
112,112,93.994,4.857
113,113,93.994,4.857
114,114,93.994,4.857
115,115,93.994,4.857
116,116,93.994,4.857
117,117,93.994,4.857
118,118,93.994,4.857
119,119,93.994,4.857
120,120,93.994,4.857
121,121,93.994,4.857
122,122,93.994,4.857
123,123,93.994,4.857
124,124,93.994,4.857
125,125,93.994,4.857
126,126,93.994,4.857
127,127,93.994,4.857
128,128,93.994,4.857
129,129,93.994,4.857
130,130,93.994,4.857
131,131,93.994,4.857
132,132,93.994,4.857
133,133,93.994,4.857
134,134,93.994,4.857
135,135,93.994,4.857
136,136,93.994,4.857
137,137,93.994,4.857
138,138,93.994,4.857
139,139,93.994,4.857
140,140,93.994,4.857
141,141,93.994,4.857
142,142,93.994,4.857
143,143,93.994,4.857
144,144,93.994,4.857
145,145,93.994,4.857
146,146,93.994,4.857
147,147,93.994,4.857
148,148,93.994,4.857
149,149,93.994,4.857
150,150,93.994,4.857
151,151,93.994,4.857
152,152,93.994,4.857
153,153,93.994,4.857
154,154,93.994,4.857
155,155,93.994,4.857
156,156,93.994,4.857
157,157,93.994,4.857
158,158,93.994,4.857
159,159,93.994,4.857
160,160,93.994,4.857
161,161,93.994,4.857
162,162,93.994,4.857
163,163,93.994,4.857
164,164,93.994,4.857
165,165,93.994,4.857
166,166,93.994,4.857
167,167,93.994,4.857
168,168,93.994,4.857
169,169,93.994,4.857
170,170,93.994,4.857
171,171,93.994,4.857
172,172,93.994,4.857
173,173,93.994,4.857
174,174,93.994,4.857
175,175,93.994,4.857
176,176,93.994,4.857
177,177,93.994,4.857
178,178,93.994,4.857
179,179,93.994,4.857
180,180,93.994,4.857
181,181,93.994,4.857
182,182,93.994,4.857
183,183,93.994,4.857
184,184,93.994,4.857
185,185,93.994,4.857
186,186,93.994,4.857
187,187,93.994,4.857
188,188,93.994,4.857
189,189,93.994,4.857
190,190,93.994,4.857
191,191,93.994,4.857
192,192,93.994,4.857
193,193,93.994,4.857
194,194,93.994,4.857
195,195,93.994,4.857
196,196,93.994,4.857
197,197,93.994,4.857
198,198,93.994,4.857
199,199,93.994,4.857
200,200,93.994,4.857
201,201,93.994,4.857
202,202,93.994,4.857
203,203,93.994,4.857
204,204,93.994,4.857
205,205,93.994,4.857
206,206,93.994,4.857
207,207,93.994,4.857
208,208,93.994,4.857
209,209,93.994,4.857
210,210,93.994,4.857
211,211,93.994,4.857
212,212,93.994,4.857
213,213,93.994,4.857
214,214,93.994,4.857
215,215,93.994,4.857
216,216,93.994,4.857
217,217,93.994,4.857
218,218,93.994,4.857
219,219,93.994,4.857
220,220,93.994,4.857
221,221,93.994,4.857
222,222,93.994,4.857
223,223,93.994,4.857
224,224,93.994,4.857
225,225,93.994,4.857
226,226,93.994,4.857
227,227,93.994,4.857
228,228,93.994,4.857
229,229,93.994,4.857
230,230,93.994,4.857
231,231,93.994,4.857
232,232,93.994,4.857
233,233,93.994,4.857
234,234,93.994,4.857
235,235,93.994,4.857
236,236,93.994,4.857
237,237,93.994,4.857
238,238,93.994,4.857
239,239,93.994,4.857
240,240,93.994,4.857
241,241,93.994,4.857
242,242,93.994,4.857
243,243,93.994,4.857
244,244,93.994,4.857
245,245,93.994,4.857
246,246,93.994,4.857
247,247,93.994,4.857
248,248,93.994,4.857
249,249,93.994,4.857
250,250,93.994,4.857
251,251,93.994,4.857
252,252,93.994,4.857
253,253,93.994,4.857
254,254,93.994,4.857
255,255,93.994,4.857
256,256,93.994,4.857
257,257,93.994,4.857
258,258,93.994,4.857
259,259,93.994,4.857
260,260,93.994,4.857
261,261,93.994,4.857
262,262,93.994,4.857
263,263,93.994,4.857
264,264,93.994,4.857
265,265,93.994,4.857
266,266,93.994,4.857
267,267,93.994,4.857
268,268,93.994,4.857
269,269,93.994,4.857
270,270,93.994,4.857
271,271,93.994,4.857
272,272,93.994,4.857
273,273,93.994,4.857
274,274,93.994,4.857
275,275,93.994,4.857
276,276,93.994,4.857
277,277,93.994,4.857
278,278,93.994,4.857
279,279,93.994,4.857
280,280,93.994,4.857
281,281,93.994,4.857
282,282,93.994,4.857
283,283,93.994,4.857
284,284,93.994,4.857
285,285,93.994,4.857
286,286,93.994,4.857
287,287,93.994,4.857
288,288,93.994,4.857
289,289,93.994,4.857
290,290,93.994,4.857
291,291,93.994,4.857
292,292,93.994,4.857
293,293,93.994,4.857
294,294,93.994,4.857
295,295,93.994,4.857
296,296,93.994,4.857
297,297,93.994,4.857
298,298,93.994,4.857
299,299,93.994,4.857
300,300,93.994,4.857
301,301,93.994,4.857
302,302,93.994,4.857
303,303,93.994,4.857
304,304,93.994,4.857
305,305,93.994,4.857
306,306,93.994,4.857
307,307,93.994,4.857
308,308,93.994,4.857
309,309,93.994,4.857
310,310,93.994,4.857
311,311,93.994,4.857
312,312,93.994,4.857
313,313,93.994,4.857
314,314,93.994,4.857
315,315,93.994,4.857
316,316,93.994,4.857
317,317,93.994,4.857
318,318,93.994,4.857
319,319,93.994,4.857
320,320,93.994,4.857
321,321,93.994,4.857
322,322,93.994,4.857
323,323,93.994,4.857
324,324,93.994,4.857
325,325,93.994,4.857
326,326,93.994,4.857
327,327,93.994,4.857
328,328,93.994,4.857
329,329,93.994,4.857
330,330,93.994,4.857
331,331,93.994,4.857
332,332,93.994,4.857
333,333,93.994,4.857
334,334,93.994,4.857
335,335,93.994,4.857
336,336,93.994,4.857
337,337,93.994,4.857
338,338,93.994,4.857
339,339,93.994,4.857
340,340,93.994,4.857
341,341,93.994,4.857
342,342,93.994,4.857
343,343,93.994,4.857
344,344,93.994,4.857
345,345,93.994,4.857
346,346,93.994,4.857
347,347,93.994,4.857
348,348,93.994,4.857
349,349,93.994,4.857
350,350,93.994,4.857
351,351,93.994,4.857
352,352,93.994,4.857
353,353,93.994,4.857
354,354,93.994,4.857
355,355,93.994,4.857
356,356,93.994,4.857
357,357,93.994,4.857
358,358,93.994,4.857
359,359,93.994,4.857
360,360,93.994,4.857
361,361,93.994,4.857
362,362,93.994,4.857
363,363,93.994,4.857
364,364,93.994,4.857
365,365,93.994,4.857
366,366,93.994,4.857
367,367,93.994,4.857
368,368,93.994,4.857
369,369,93.994,4.857
370,370,93.994,4.857
371,371,93.994,4.857
372,372,93.994,4.857
373,373,93.994,4.857
374,374,93.994,4.857
375,375,93.994,4.857
376,376,93.994,4.857
377,377,93.994,4.857
378,378,93.994,4.857
379,379,93.994,4.857
380,380,93.994,4.857
381,381,93.994,4.857
382,382,93.994,4.857
383,383,93.994,4.857
384,384,93.994,4.857
385,385,93.994,4.857
386,386,93.994,4.857
387,387,93.994,4.857
388,388,93.994,4.857
389,389,93.994,4.857
390,390,93.994,4.857
391,391,93.994,4.857
392,392,93.994,4.857
393,393,93.994,4.857
394,394,93.994,4.857
395,395,93.994,4.857
396,396,93.994,4.857
397,397,93.994,4.857
398,398,93.994,4.857
399,399,93.994,4.857
400,400,93.994,4.857
401,401,93.994,4.857
402,402,93.994,4.857
403,403,93.994,4.857
404,404,93.994,4.857
405,405,93.994,4.857
406,406,93.994,4.857
407,407,93.994,4.857
408,408,93.994,4.857
409,409,93.994,4.857
410,410,93.994,4.857
411,411,93.994,4.857
412,412,93.994,4.857
413,413,93.994,4.857
414,414,93.994,4.857
415,415,93.994,4.857
416,416,93.994,4.857
417,417,93.994,4.857
418,418,93.994,4.857
419,419,93.994,4.857
420,420,93.994,4.857
421,421,93.994,4.857
422,422,93.994,4.857
423,423,93.994,4.857
424,424,93.994,4.857
425,425,93.994,4.857
426,426,93.994,4.857
427,427,93.994,4.857
428,428,93.994,4.857
429,429,93.994,4.857
430,430,93.994,4.857
431,431,93.994,4.857
432,432,93.994,4.857
433,433,93.994,4.857
434,434,93.994,4.857
435,435,93.994,4.857
436,436,93.994,4.857
437,437,93.994,4.857
438,438,93.994,4.857
439,439,93.994,4.857
440,440,93.994,4.857
441,441,93.994,4.857
442,442,93.994,4.857
443,443,93.994,4.857
444,444,93.994,4.857
445,445,93.994,4.857
446,446,93.994,4.857
447,447,93.994,4.857
448,448,93.994,4.857
449,449,93.994,4.857
450,450,93.994,4.857
451,451,93.994,4.857
452,452,93.994,4.857
453,453,93.994,4.857
454,454,93.994,4.857
455,455,93.994,4.857
456,456,93.994,4.857
457,457,93.994,4.857
458,458,93.994,4.857
459,459,93.994,4.857
460,460,93.994,4.857
461,461,93.994,4.857
462,462,93.994,4.857
463,463,93.994,4.857
464,464,93.994,4.857
465,465,93.994,4.857
466,466,93.994,4.857
467,467,93.994,4.857
468,468,93.994,4.857
469,469,93.994,4.857
470,470,93.994,4.857
471,471,93.994,4.857
472,472,93.994,4.857
473,473,93.994,4.857
474,474,93.994,4.857
475,475,93.994,4.857
476,476,93.994,4.857
477,477,93.994,4.857
478,478,93.994,4.857
479,479,93.994,4.857
480,480,93.994,4.857
481,481,93.994,4.857
482,482,93.994,4.857
483,483,93.994,4.857
484,484,93.994,4.857
485,485,93.994,4.857
486,486,93.994,4.857
487,487,93.994,4.857
488,488,93.994,4.857
489,489,93.994,4.857
490,490,93.994,4.857
491,491,93.994,4.857
492,492,93.994,4.857
493,493,93.994,4.857
494,494,93.994,4.857
495,495,93.994,4.857
496,496,93.994,4.857
497,497,93.994,4.857
498,498,93.994,4.857
499,499,93.994,4.857
500,500,93.994,4.857
501,501,93.994,4.857
502,502,93.994,4.857
503,503,93.994,4.857
504,504,93.994,4.857
505,505,93.994,4.857
506,506,93.994,4.857
507,507,93.994,4.857
508,508,93.994,4.857
509,509,93.994,4.857
510,510,93.994,4.857
511,511,93.994,4.857
512,512,93.994,4.857
513,513,93.994,4.857
514,514,93.994,4.857
515,515,93.994,4.857
516,516,93.994,4.857
517,517,93.994,4.857
518,518,93.994,4.857
519,519,93.994,4.857
520,520,93.994,4.857
521,521,93.994,4.857
522,522,93.994,4.857
523,523,93.994,4.857
524,524,93.994,4.857
525,525,93.994,4.857
526,526,93.994,4.857
527,527,93.994,4.857
528,528,93.994,4.857
529,529,93.994,4.857
